Time:2020-07-04 19:15:09,355; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:第5次请求响应超时... 
Time:2020-07-04 19:15:09,377; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:获取页面请求响应超时异常：HTTPConnectionPool(host='www.wnny.buzz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D7C5822978>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',)) 
Time:2020-07-04 19:15:09,379; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:第1次请求响应超时... 
Time:2020-07-04 19:15:09,589; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:获取页面请求响应超时异常：HTTPConnectionPool(host='www.wnny.buzz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D7C465F0B8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',)) 
Time:2020-07-04 19:15:09,591; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:第2次请求响应超时... 
Time:2020-07-04 19:15:09,613; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:获取页面请求响应超时异常：HTTPConnectionPool(host='www.wnny.buzz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D7C4657898>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',)) 
Time:2020-07-04 19:15:09,615; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:第3次请求响应超时... 
Time:2020-07-04 19:15:09,847; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:获取页面请求响应超时异常：HTTPConnectionPool(host='www.wnny.buzz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D7C453A550>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',)) 
Time:2020-07-04 19:15:09,849; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:第4次请求响应超时... 
Time:2020-07-04 19:15:10,066; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:获取页面请求响应超时异常：HTTPConnectionPool(host='www.wnny.buzz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D7C4600630>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',)) 
